num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1317	59789.405751	62.365517	0.363664	0.610593	113.610472
1319	59791.468077	54.971712	0.306118	0.597181	97.797823
1321	59793.534418	47.783882	0.542667	0.586323	70.581484
1323	59795.614663	41.290366	0.527202	0.599198	57.779808
1325	59797.699169	36.266120	0.353398	0.610118	42.536015
1327	59799.767077	31.906875	0.252191	0.605180	33.296045
1329	59801.826415	27.601223	0.238864	0.593352	23.814852
1331	59803.885181	23.823042	0.219524	0.584111	17.457333
1333	59805.950464	20.467423	0.197558	0.585204	13.112956
1335	59808.012982	17.522796	0.168425	0.583010	10.317075
1337	59810.077710	15.058942	0.139968	0.588347	7.188191
1339	59812.143818	13.038926	0.131875	0.592758	5.851596
1341	59814.212310	11.116937	0.108061	0.593720	4.242365
1343	59816.296644	9.601582	0.048684	0.587024	3.666820
1345	59818.396998	8.212199	0.001329	0.555350	1.786975
1345	59818.396998	8.211867	0.001342	0.555417	1.511466
1345	59818.396998	8.211882	0.001339	0.555422	1.511466
