crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	111.186516	2518	0.000000
281474976710655.000000	111.697266	2519	0.000000
281474976710655.000000	116.542656	2520	0.000000
281474976710655.000000	121.690285	2521	0.000000
281474976710655.000000	114.850075	2522	0.000000
281474976710655.000000	108.741341	2523	0.000000
281474976710655.000000	101.010063	2524	0.000000
281474976710655.000000	66.766167	2525	0.000000
281474976710655.000000	109.296021	2526	0.000000
281474976710655.000000	107.178070	2527	0.000000
281474976710655.000000	93.592339	2528	0.000000
281474976710655.000000	185.096100	2529	0.000000
281474976710655.000000	97.294037	2530	0.000000
281474976710655.000000	90.737106	2531	0.000000
281474976710655.000000	79.885506	2532	0.000000
281474976710655.000000	86.090904	2533	0.000000
281474976710655.000000	82.812401	2534	0.000000
281474976710655.000000	85.700165	2535	0.000000
281474976710655.000000	81.132774	2536	0.000000
281474976710655.000000	36.589287	2537	0.000000
281474976710655.000000	153.143814	2538	0.000000
281474976710655.000000	115.236374	2539	0.000000
281474976710655.000000	71.120049	2540	0.000000
281474976710655.000000	70.131836	2541	0.000000
281474976710655.000000	44.000999	2542	0.000000
281474976710655.000000	48.735847	2543	0.000000
281474976710655.000000	45.904999	2544	0.000000
281474976710655.000000	59.433586	2545	0.000000
281474976710655.000000	61.554893	2546	0.000000
281474976710655.000000	52.058598	2547	0.000000
281474976710655.000000	56.079357	2548	0.000000
281474976710655.000000	43.430496	2549	0.000000
281474976710655.000000	86.250465	2550	0.000000
281474976710655.000000	39.819691	2551	0.000000
281474976710655.000000	58.398102	2552	0.000000
281474976710655.000000	56.711010	2553	0.000000
281474976710655.000000	47.450481	2554	0.000000
281474976710655.000000	40.075436	2555	0.000000
281474976710655.000000	40.159691	2556	0.000000
281474976710655.000000	60.704235	2557	0.000000
281474976710655.000000	43.419281	2558	0.000000
281474976710655.000000	34.046932	2559	0.000000
281474976710655.000000	40.000065	2560	0.000000
281474976710655.000000	34.740677	2561	0.000000
281474976710655.000000	41.635784	2562	0.000000
281474976710655.000000	39.949886	2563	0.000000
281474976710655.000000	36.518391	2564	0.000000
281474976710655.000000	26.203476	2565	0.000000
281474976710655.000000	31.384859	2566	0.000000
281474976710655.000000	30.991255	2567	0.000000
281474976710655.000000	26.570719	2568	0.000000
281474976710655.000000	25.171562	2569	0.000000
281474976710655.000000	29.030697	2570	0.000000
281474976710655.000000	33.005936	2571	0.000000
281474976710655.000000	32.692276	2572	0.000000
281474976710655.000000	28.355150	2573	0.000000
281474976710655.000000	25.204935	2574	0.000000
281474976710655.000000	22.962387	2575	0.000000
281474976710655.000000	21.521786	2576	0.000000
281474976710655.000000	23.089197	2577	0.000000
281474976710655.000000	21.497902	2578	0.000000
281474976710655.000000	20.161032	2579	0.000000
281474976710655.000000	19.804434	2580	0.000000
281474976710655.000000	18.521933	2581	0.000000
281474976710655.000000	19.054405	2582	0.000000
281474976710655.000000	18.976532	2583	0.000000
281474976710655.000000	17.478277	2584	0.000000
281474976710655.000000	17.366825	2585	0.000000
281474976710655.000000	16.639524	2586	0.000000
281474976710655.000000	17.095993	2587	0.000000
281474976710655.000000	14.871016	2588	0.000000
281474976710655.000000	15.195073	2589	0.000000
281474976710655.000000	14.448114	2590	0.000000
281474976710655.000000	13.404674	2591	0.000000
281474976710655.000000	13.543003	2592	0.000000
281474976710655.000000	12.801614	2593	0.000000
281474976710655.000000	12.218728	2594	0.000000
281474976710655.000000	12.670221	2595	0.000000
281474976710655.000000	11.801361	2596	0.000000
281474976710655.000000	11.171947	2597	0.000000
281474976710655.000000	11.384398	2598	0.000000
281474976710655.000000	10.678426	2599	0.000000
281474976710655.000000	10.214676	2600	0.000000
281474976710655.000000	10.325143	2601	0.000000
281474976710655.000000	9.572422	2602	0.000000
281474976710655.000000	9.860847	2603	0.000000
281474976710655.000000	8.395135	2604	0.000000
281474976710655.000000	8.541121	2605	0.000000
281474976710655.000000	8.223230	2606	0.000000
281474976710655.000000	8.035218	2607	0.000000
281474976710655.000000	8.356535	2608	0.000000
281474976710655.000000	7.818234	2609	0.000000
281474976710655.000000	7.435346	2610	0.000000
281474976710655.000000	7.303068	2611	0.000000
281474976710655.000000	6.880940	2612	0.000000
281474976710655.000000	6.737404	2613	0.000000
281474976710655.000000	6.550044	2614	0.000000
281474976710655.000000	6.364423	2615	0.000000
281474976710655.000000	5.862069	2616	0.000000
281474976710655.000000	5.834724	2617	0.000000
281474976710655.000000	5.579347	2618	0.000000
281474976710655.000000	5.347242	2619	0.000000
281474976710655.000000	5.219909	2620	0.000000
281474976710655.000000	4.959674	2621	0.000000
281474976710655.000000	4.876956	2622	0.000000
281474976710655.000000	4.802922	2623	0.000000
281474976710655.000000	4.549816	2624	0.000000
281474976710655.000000	4.359806	2625	0.000000
281474976710655.000000	4.354098	2626	0.000000
281474976710655.000000	4.116535	2627	0.000000
281474976710655.000000	4.095227	2628	0.000000
281474976710655.000000	3.945590	2629	0.000000
281474976710655.000000	3.689301	2630	0.000000
281474976710655.000000	3.697605	2631	0.000000
281474976710655.000000	3.300205	2632	0.000000
281474976710655.000000	3.266476	2633	0.000000
281474976710655.000000	3.232427	2634	0.000000
281474976710655.000000	2.849372	2635	0.000000
281474976710655.000000	3.177938	2636	0.000000
281474976710655.000000	2.883463	2637	0.000000
281474976710655.000000	2.894606	2638	0.000000
281474976710655.000000	2.756831	2639	0.000000
281474976710655.000000	2.505216	2640	0.000000
281474976710655.000000	2.446487	2641	0.000000
281474976710655.000000	2.131529	2642	0.000000
281474976710655.000000	2.115911	2643	0.000000
281474976710655.000000	1.960658	2644	0.000000
281474976710655.000000	2.210725	2645	0.000000
281474976710655.000000	1.973213	2646	0.000000
281474976710655.000000	1.798225	2647	0.000000
281474976710655.000000	1.924136	2648	0.000000
281474976710655.000000	1.698537	2649	0.000000
281474976710655.000000	1.553726	2650	0.000000
281474976710655.000000	1.482179	2651	0.000000
281474976710655.000000	1.397664	2652	0.000000
281474976710655.000000	1.393062	2653	0.000000
281474976710655.000000	1.286484	2654	0.000000
281474976710655.000000	1.187543	2655	0.000000
281474976710655.000000	1.053222	2656	0.000000
281474976710655.000000	1.036743	2657	0.000000
281474976710655.000000	0.996884	2658	0.000000
281474976710655.000000	0.871479	2659	0.000000
281474976710655.000000	0.592391	2660	0.000000
