crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.477444	11128	0.000000
281474976710655.000000	1.077445	11129	0.000000
281474976710655.000000	1.024516	11130	0.000000
281474976710655.000000	1.321035	11131	0.000000
281474976710655.000000	1.522448	11132	0.000000
281474976710655.000000	4.211926	11133	0.000000
281474976710655.000000	2.780401	11134	0.000000
281474976710655.000000	8.085659	11135	0.000000
281474976710655.000000	4.520714	11136	0.000000
281474976710655.000000	10.069826	11137	0.000000
281474976710655.000000	9.134931	11138	0.000000
281474976710655.000000	8.693992	11139	0.000000
281474976710655.000000	8.868594	11140	0.000000
281474976710655.000000	7.264910	11141	0.000000
281474976710655.000000	8.104177	11142	0.000000
281474976710655.000000	5.531732	11143	0.000000
281474976710655.000000	6.397303	11144	0.000000
281474976710655.000000	3.767703	11145	0.000000
281474976710655.000000	4.800608	11146	0.000000
281474976710655.000000	2.093643	11147	0.000000
281474976710655.000000	2.926337	11148	0.000000
281474976710655.000000	1.896696	11149	0.000000
281474976710655.000000	1.422626	11150	0.000000
