num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
12419	86911.703762	2.932103	67.808839	5.391520	1.194401
12421	86913.725327	2.506541	68.004131	-0.908674	0.327477
12423	86915.789271	2.713834	65.469681	-0.911645	0.725359
12425	86917.862273	2.807695	61.630384	-0.907390	0.755794
12427	86919.902897	2.777269	60.198081	-0.911735	0.650389
12429	86921.967273	2.664748	57.573701	5.374061	1.061985
12431	86924.065260	2.601217	55.842557	5.372688	0.984270
12433	86926.132422	2.609974	53.401367	-0.909147	0.536994
12435	86928.203388	2.752276	51.662770	-0.909318	0.699942
12437	86930.273444	2.867352	49.622225	-0.909401	1.057829
12439	86932.339744	2.582278	47.461844	-0.908530	1.486869
12441	86934.410518	2.349635	45.063464	-0.909098	1.754137
12443	86936.479425	2.478438	43.143423	-0.910029	1.664443
12445	86938.563373	2.650381	41.446227	-0.908634	3.291766
12447	86940.626461	2.621166	39.728037	5.375233	3.447766
12449	86942.695783	2.452871	37.998510	5.373819	3.543767
12451	86944.763187	2.335123	36.190550	5.372348	3.453520
12453	86946.836310	2.292590	34.702608	5.372550	3.529400
12455	86948.907714	2.239622	32.989744	5.372843	4.327617
12457	86950.978673	2.122259	31.585629	5.371882	4.519552
12459	86953.052342	1.971776	30.239842	5.371838	5.617010
12461	86955.120622	1.866044	28.982331	5.370260	6.317869
12463	86957.190425	1.972594	27.635567	5.368603	6.550496
12465	86959.260693	2.101649	26.150625	5.369946	5.751360
12467	86961.338044	2.008481	24.927537	5.372867	5.621811
12469	86963.407601	1.754059	23.956589	5.372569	6.152842
12471	86965.477739	1.595257	22.880470	5.369228	6.476535
12473	86967.548554	1.551131	21.760360	5.366811	6.359476
12475	86969.618811	1.542013	20.734668	5.363999	6.270468
12477	86971.691765	1.534080	19.853242	5.368927	6.233624
12479	86973.759172	1.525952	18.789387	5.368044	6.120388
12481	86975.833544	1.518849	17.977393	5.364242	5.983556
12483	86977.901748	1.482631	17.009382	5.365256	6.015846
12485	86979.971874	1.350497	16.101682	5.369518	4.900574
12487	86982.047155	1.150226	15.437367	5.368223	4.951374
12489	86984.117283	1.075795	14.479639	5.364384	4.315810
12491	86986.194951	1.144592	13.416459	5.361058	3.772810
12493	86988.253222	1.201105	13.054764	5.363935	3.876757
12495	86990.332344	1.181645	12.807156	5.363316	3.662926
12497	86992.403802	1.134462	11.834515	5.359076	3.339032
12499	86994.473266	1.035711	11.542369	5.361758	3.444648
12501	86996.552200	0.943820	11.001937	5.358656	3.518551
12503	86998.613372	0.878012	10.410593	5.365905	3.523074
12505	87000.685121	0.797572	9.989850	5.366647	2.103747
12507	87003.804282	0.000000	0.623634	5.279642	1.718192
12509	87007.942453	0.181480	0.561139	5.312359	2.436751
12511	87012.074454	0.146892	0.276299	-6.974334	1.393626
12511	87012.074454	0.146892	0.276298	-6.974336	1.312369
